species,longitude,latitude
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.447146,5.12634
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.451355,5.097442
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.451355,5.097442
Grallaria milleri,-75.454258,5.09116
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.451355,5.097442
Grallaria milleri,-75.5001,5.0834
Grallaria milleri,-75.5001,5.0834
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.438508,5.073662
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.482719,5.103789
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.482719,5.103789
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.4379,5.0769
Grallaria milleri,-75.44981,5.129936
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.53333,5.0725
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.53333,5.0725
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.43783,5.073373
Grallaria milleri,-75.448093,5.06645
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.451098,5.091206
Grallaria milleri,-75.451098,5.091206
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.4379,5.0732
Grallaria milleri,-75.482748,5.103811
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.451098,5.091206
Grallaria milleri,-75.4379,5.0732
Grallaria milleri,-75.4379,5.0732
Grallaria milleri,-75.451098,5.091206
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.43805,5.073394
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.452084,5.091916
Grallaria milleri,-75.43805,5.073394
Grallaria milleri,-75.437864,5.073222
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.376704,5.128688
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
Grallaria milleri,-75.441337,5.069488
