species,longitude,latitude
Oxypogon_stuebelii,-75.378474,4.970461
Oxypogon_stuebelii,-75.377197,4.820049
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.357692,4.958989
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.352752,4.923768
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358657,4.975194
Oxypogon_stuebelii,-75.336245,4.980222
Oxypogon_stuebelii,-75.336245,4.980222
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.361685,4.861068
Oxypogon_stuebelii,-75.335373,4.979652
Oxypogon_stuebelii,-75.335373,4.979652
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.33041,4.899722
Oxypogon_stuebelii,-75.33041,4.899722
Oxypogon_stuebelii,-75.35866,4.975194
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.350136,4.933545
Oxypogon_stuebelii,-75.37033,4.79268
Oxypogon_stuebelii,-75.3772,4.820049
Oxypogon_stuebelii,-75.33624,4.980222
Oxypogon_stuebelii,-75.37847,4.970461
Oxypogon_stuebelii,-75.345116,4.93657
Oxypogon_stuebelii,-75.36169,4.861068
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.327,5.005
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.3683,4.7954
Oxypogon_stuebelii,-75.33537,4.979652
Oxypogon_stuebelii,-75.33537,4.979652
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.3683,4.7954
Oxypogon_stuebelii,-75.33624,4.980222
Oxypogon_stuebelii,-75.34923,4.933963
Oxypogon_stuebelii,-75.255679,4.942229
Oxypogon_stuebelii,-75.44753,4.740382
Oxypogon_stuebelii,-75.35769,4.95899
Oxypogon_stuebelii,-75.35275,4.923768
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.31265,5.012971
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35433,4.950808
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.328486,4.998237
Oxypogon_stuebelii,-75.347328,4.914829
Oxypogon_stuebelii,-75.347328,4.914829
Oxypogon_stuebelii,-75.323982,4.890857
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.328486,4.998237
Oxypogon_stuebelii,-75.328486,4.998237
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.328486,4.998237
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.403145,4.869493
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.328486,4.998237
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.354329,4.950808
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.328486,4.998237
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.358658,4.882857
Oxypogon_stuebelii,-75.353136,4.925586
Oxypogon_stuebelii,-75.35,4.9337
Oxypogon_stuebelii,-75.34923,4.933963
Oxypogon_stuebelii,-75.35866,4.882857
Oxypogon_stuebelii,-75.350474,4.936385
Oxypogon_stuebelii,-75.403145,4.869493
Oxypogon_stuebelii,-75.349945,4.93367
Oxypogon_stuebelii,-75.34923,4.933963
