,Año,Min,Max,Mean,Std,Median
TerraClimate_ppt_2011.nc - x,2011.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2011.nc - y,2011.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2011.nc - ppt,2011.0,24.5,1058.4,270.56717291295337,131.93156752675557,
TerraClimate_ppt_2012.nc - x,2012.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2012.nc - y,2012.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2012.nc - ppt,2012.0,29.6,529.7,182.9087378544504,85.50318466210337,
TerraClimate_ppt_2013.nc - x,2013.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2013.nc - y,2013.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2013.nc - ppt,2013.0,8.5,566.8000000000001,189.92664743208542,89.13797017576049,
TerraClimate_ppt_2014.nc - x,2014.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2014.nc - y,2014.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2014.nc - ppt,2014.0,20.700000000000003,596.2,176.52125936942633,74.69524164007096,
TerraClimate_ppt_2015.nc - x,2015.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2015.nc - y,2015.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2015.nc - ppt,2015.0,17.1,380.0,135.40604203846843,63.06035382087153,
TerraClimate_ppt_2016.nc - x,2016.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2016.nc - y,2016.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2016.nc - ppt,2016.0,12.9,455.3,152.78829664881954,70.9641707274956,
TerraClimate_ppt_2017.nc - x,2017.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2017.nc - y,2017.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2017.nc - ppt,2017.0,18.400000000000002,615.6,171.09412849494132,79.2571806261987,
TerraClimate_ppt_2018.nc - x,2018.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2018.nc - y,2018.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2018.nc - ppt,2018.0,22.5,633.3000000000001,189.07055324212075,94.12428041806723,
TerraClimate_ppt_2019.nc - x,2019.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2019.nc - y,2019.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2019.nc - ppt,2019.0,2.0,987.9000000000001,161.47817231806,91.28407266170548,
TerraClimate_ppt_2020.nc - x,2020.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2020.nc - y,2020.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2020.nc - ppt,2020.0,10.200000000000001,881.6,168.1670418401742,85.8247942508898,
TerraClimate_ppt_2021.nc - x,2021.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2021.nc - y,2021.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2021.nc - ppt,2021.0,4.3,580.6,186.15341443584913,76.99034094631683,
TerraClimate_ppt_2022.nc - x,2022.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2022.nc - y,2022.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2022.nc - ppt,2022.0,14.3,817.7,197.3648237160407,89.69779490474838,
TerraClimate_ppt_2023.nc - x,2023.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_ppt_2023.nc - y,2023.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_ppt_2023.nc - ppt,2023.0,26.0,769.6,178.24214297044847,79.45300907477854,
TerraClimate_tmax_2011.nc - x,2011.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_tmax_2011.nc - y,2011.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_tmax_2011.nc - tmax,2011.0,3.8299999999999983,34.93000000000001,24.410691136228415,5.869997259025066,
TerraClimate_tmax_2012.nc - x,2012.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_tmax_2012.nc - y,2012.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_tmax_2012.nc - tmax,2012.0,3.950000000000003,34.80000000000001,24.609822070197012,5.855565036641472,
TerraClimate_tmax_2013.nc - x,2013.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_tmax_2013.nc - y,2013.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_tmax_2013.nc - tmax,2013.0,4.019999999999996,35.09,24.992218778504864,5.867848098717211,
TerraClimate_tmax_2014.nc - x,2014.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_tmax_2014.nc - y,2014.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_tmax_2014.nc - tmax,2014.0,4.290000000000006,35.47999999999999,25.266484374380365,5.875445942048543,
TerraClimate_tmax_2015.nc - x,2015.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_tmax_2015.nc - y,2015.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_tmax_2015.nc - tmax,2015.0,4.170000000000002,35.74000000000001,25.374817311124783,5.854097954792411,
TerraClimate_tmax_2016.nc - x,2016.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_tmax_2016.nc - y,2016.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_tmax_2016.nc - tmax,2016.0,3.969999999999999,35.80000000000001,25.27284513186591,5.880817872701642,
TerraClimate_tmax_2017.nc - x,2017.0,-76.20416833333333,-74.49651833333333,-75.35034333333333,0.49535492086482796,-75.35034333333333
TerraClimate_tmax_2017.nc - y,2017.0,4.496518333333347,6.204168333333347,5.350343333333341,0.4953549208648281,5.350343333333347
TerraClimate_tmax_2017.nc - tmax,2017.0,1.5799999999999983,34.69999999999999,24.42550549276244,5.862329723506715,
